NAME,POSITION,START_SEASON,END_SEASON,TRANSFERRED FROM,TRANSFERRED TO,APPEARANCES,GOALS
NICHOLAS Peter,M,1980,1983,Crystal Palace,Crystal Palace,60,1
NUTT Gordon,W,1955,1960,Cardiff City,Southend United,49,10
OAKES Don,WH,1952,1955,Downend,Retired,11,1
O'FLANAGAN Kevin,W,1946,1947,Bohemians,Corinthian Casuals,14,3
O'LEARY David,CD,1975,1993,Apprentice,Leeds United,558,11
O'NEILL Frank,W,1960,1961,Home Farm,Shamrock Rovers,2,0
O'SHEA Danny,D,1982,1983,Apprentice,Exeter City,6,0
OVERMARS Marc,W,1997,2000,Ajax,Barcelona,100,25
OWUSU-ABEYIE Quincy,F,2004,2006,Youth Trainee,Spartak Moscow,5,0
PACK Roy,FB,1965,1966,Apprentice,Portsmouth,1,0
PARK Chu-young,F,2011,2012,AS Monaco,Al Shabab,1,0
PARLOUR Ray,M,1991,2004,Youth Trainee,Middlesbrough,339,22
PATES Colin,CD,1989,1993,Charlton Athletic,Brighton,38,0
PENNANT Jermaine,M,2002,2005,Notts County - Youth Trainee,Birmingham City,19,3
PETIT Emmanuel,M,1997,2000,AS Monaco,Barcelona,85,9
PETROVIC Vladimir,M,1982,1983,Red Star Belgrade,Royal Antwerp,13,2
PETTS John,WH,1957,1962,Youth Trainee,Reading,32,0
PIRES Robert,M,2000,2006,Olympique Marseille,Villarreal CF,189,62
PLATT David,M,1995,1998,Sampdoria,P/Mgr. Nottingham Forest,88,13
PLATT Ted,G,1946,1953,Colchester United,Portsmouth,53,0
POOM Mart,G,2006,2007,Sunderland,Watford,1,0
POWLING Richie,D,1973,1978,Apprentice,Barnet,55,3
PRICE David,M,1972,1981,Apprentice,Crystal Palace,126,16
QUINN Niall,F,1985,1990,Youth Trainee,Manchester City,67,14
RADFORD John,F,1963,1977,Apprentice,West Ham United,379,111
RANDALL Mark,M,2007,2009,Youth Trainee,Chesterfield,2,0
RANKIN Isaiah,F,1997,1998,Youth Trainee,Bradford City,1,0
REYES Jose Antonio,F,2003,2006,Sevilla,Atletico Madrid,69,16
RICE Pat,FB,1967,1981,Youth Trainee,Watford,397,12
RICHARDSON Kevin,M,1987,1990,Watford,Real Sociedad,96,5
RIMMER Jimmy,G,1973,1977,Manchester United,Aston Villa,124,0
RIX Graham,M,1976,1988,Apprentice,Caen,351,41
ROBERTS John,CD,1969,1973,Northampton Town,Birmingham City,59,4
ROBERTSON Jimmy,W,1968,1970,Tottenham Hotspur,Ipswich Town,46,7
ROBERTSON Jimmy,W,1951,1952,Dunipace Thistle,Brentford,1,0
ROBSON Stewart,M,1981,1987,Apprentice,West Ham United,151,16
ROCASTLE David,M,1985,1992,Apprentice,Leeds United,218,24
ROOKE Ronnie,CF,1946,1949,Fulham,Crystal Palace,88,68
ROPER Don,W,1947,1957,Southampton,Southampton,297,88
ROSE Matthew,D,1995,1997,Youth Trainee,Queens Park Rangers,5,0
ROSS Trevor,M,1974,1978,Apprentice,Everton,58,5
ROSTRON Wilf,W,1974,1977,Apprentice,Sunderland,17,2
RUDKIN Tommy,W,1946,1947,Peterborough United,Southampton,5,2
SAGNA Bacary,FB,2007,2014,Auxerre,Manchester City,213,4
